Alpha Gain,Alpha Loss,Beta,Gamma,propB,propC
0.0,0.0,0.5,1.0,0.5001000000000001,0.48989999999999995
0.0,0.025,0.5,1.0,0.5476000000000001,0.44240000000000007
0.0,0.05,0.5,1.0,0.5745000000000001,0.4154999999999999
0.0,0.075,0.5,1.0,0.5934999999999999,0.39650000000000013
0.0,0.1,0.5,1.0,0.5960000000000003,0.39399999999999996
0.0,0.125,0.5,1.0,0.5872999999999999,0.4026999999999999
0.0,0.15,0.5,1.0,0.5634,0.4266
0.0,0.175,0.5,1.0,0.5338999999999999,0.4561
0.0,0.2,0.5,1.0,0.5318,0.45820000000000005
0.0,0.225,0.5,1.0,0.46209999999999996,0.5279000000000003
0.0,0.25,0.5,1.0,0.46250000000000013,0.5275000000000002
0.0,0.275,0.5,1.0,0.3921,0.5978999999999999
0.0,0.3,0.5,1.0,0.3921,0.5979
0.0,0.325,0.5,1.0,0.36779999999999996,0.6222000000000001
0.0,0.35,0.5,1.0,0.33830000000000005,0.6516999999999997
0.0,0.375,0.5,1.0,0.3472,0.6428
0.0,0.4,0.5,1.0,0.27690000000000003,0.7131000000000003
0.0,0.425,0.5,1.0,0.24290000000000003,0.7471
0.0,0.45,0.5,1.0,0.20209999999999995,0.7879
0.0,0.475,0.5,1.0,0.19609999999999997,0.7939000000000002
0.025,0.0,0.5,1.0,0.4887,0.5012999999999999
0.025,0.025,0.5,1.0,0.43650000000000005,0.5535
0.025,0.05,0.5,1.0,0.5260999999999998,0.4638999999999999
0.025,0.075,0.5,1.0,0.5371999999999999,0.45280000000000004
0.025,0.1,0.5,1.0,0.5857,0.4043
0.025,0.125,0.5,1.0,0.5581000000000003,0.43190000000000006
0.025,0.15,0.5,1.0,0.5407999999999997,0.4492000000000001
0.025,0.175,0.5,1.0,0.5365000000000001,0.45349999999999996
0.025,0.2,0.5,1.0,0.4904,0.4996000000000001
0.025,0.225,0.5,1.0,0.46150000000000013,0.5284999999999997
0.025,0.25,0.5,1.0,0.3902000000000001,0.5998
0.025,0.275,0.5,1.0,0.3873,0.6027
0.025,0.3,0.5,1.0,0.3067999999999999,0.6831999999999999
0.025,0.325,0.5,1.0,0.3097,0.6803000000000005
0.025,0.35,0.5,1.0,0.2734000000000001,0.7166000000000001
0.025,0.375,0.5,1.0,0.26410000000000006,0.7258999999999998
0.025,0.4,0.5,1.0,0.23269999999999988,0.7572999999999996
0.025,0.425,0.5,1.0,0.21049999999999994,0.7795000000000002
0.025,0.45,0.5,1.0,0.22969999999999996,0.7602999999999999
0.025,0.475,0.5,1.0,0.19140000000000001,0.7985999999999998
0.05,0.0,0.5,1.0,0.5263,0.46370000000000017
0.05,0.025,0.5,1.0,0.2721999999999999,0.7178000000000001
0.05,0.05,0.5,1.0,0.3797999999999999,0.6102000000000001
0.05,0.075,0.5,1.0,0.4193,0.5707
0.05,0.1,0.5,1.0,0.48699999999999993,0.503
0.05,0.125,0.5,1.0,0.4760999999999999,0.5139000000000001
0.05,0.15,0.5,1.0,0.4597000000000001,0.5303000000000001
0.05,0.175,0.5,1.0,0.5094999999999996,0.4804999999999999
0.05,0.2,0.5,1.0,0.3774,0.6126
0.05,0.225,0.5,1.0,0.3731999999999998,0.6168
0.05,0.25,0.5,1.0,0.3678,0.6222000000000003
0.05,0.275,0.5,1.0,0.45330000000000004,0.5367
0.05,0.3,0.5,1.0,0.33809999999999996,0.6519000000000001
0.05,0.325,0.5,1.0,0.32219999999999993,0.6678000000000003
0.05,0.35,0.5,1.0,0.2935999999999998,0.6964
0.05,0.375,0.5,1.0,0.1943999999999999,0.7956000000000002
0.05,0.4,0.5,1.0,0.1881999999999999,0.8018
0.05,0.425,0.5,1.0,0.2356999999999999,0.7543
0.05,0.45,0.5,1.0,0.1418999999999999,0.8480999999999997
0.05,0.475,0.5,1.0,0.1667999999999999,0.8231999999999998
0.075,0.0,0.5,1.0,0.4865999999999998,0.5034000000000001
0.075,0.025,0.5,1.0,0.24299999999999994,0.7470000000000002
0.075,0.05,0.5,1.0,0.36500000000000016,0.6250000000000001
0.075,0.075,0.5,1.0,0.3880999999999999,0.6019000000000001
0.075,0.1,0.5,1.0,0.41930000000000006,0.5707
0.075,0.125,0.5,1.0,0.4349,0.5551000000000001
0.075,0.15,0.5,1.0,0.4453999999999999,0.5445999999999999
0.075,0.175,0.5,1.0,0.4195999999999999,0.5703999999999997
0.075,0.2,0.5,1.0,0.3720999999999999,0.6179000000000002
0.075,0.225,0.5,1.0,0.4024000000000001,0.5876000000000002
0.075,0.25,0.5,1.0,0.36860000000000004,0.6214000000000001
0.075,0.275,0.5,1.0,0.3391000000000001,0.6509
0.075,0.3,0.5,1.0,0.327,0.6630000000000001
0.075,0.325,0.5,1.0,0.28719999999999996,0.7028
0.075,0.35,0.5,1.0,0.35400000000000004,0.6359999999999998
0.075,0.375,0.5,1.0,0.24339999999999992,0.7465999999999998
0.075,0.4,0.5,1.0,0.24689999999999987,0.7430999999999999
0.075,0.425,0.5,1.0,0.23619999999999997,0.7537999999999997
0.075,0.45,0.5,1.0,0.21859999999999996,0.7713999999999999
0.075,0.475,0.5,1.0,0.18989999999999976,0.8000999999999998
0.1,0.0,0.5,1.0,0.45669999999999983,0.5333000000000001
0.1,0.025,0.5,1.0,0.34869999999999984,0.6412999999999998
0.1,0.05,0.5,1.0,0.3004999999999999,0.6895
0.1,0.075,0.5,1.0,0.3113000000000001,0.6786999999999997
0.1,0.1,0.5,1.0,0.37839999999999996,0.6116000000000001
0.1,0.125,0.5,1.0,0.3786999999999999,0.6113
0.1,0.15,0.5,1.0,0.41859999999999986,0.5714
0.1,0.175,0.5,1.0,0.37529999999999997,0.6147000000000001
0.1,0.2,0.5,1.0,0.39710000000000023,0.5929000000000001
0.1,0.225,0.5,1.0,0.34300000000000014,0.647
0.1,0.25,0.5,1.0,0.37809999999999994,0.6119000000000004
0.1,0.275,0.5,1.0,0.35510000000000014,0.6349
0.1,0.3,0.5,1.0,0.29919999999999997,0.6908000000000001
0.1,0.325,0.5,1.0,0.31249999999999994,0.6774999999999998
0.1,0.35,0.5,1.0,0.3124999999999999,0.6775
0.1,0.375,0.5,1.0,0.2528999999999999,0.7371000000000003
0.1,0.4,0.5,1.0,0.23409999999999992,0.7559
0.1,0.425,0.5,1.0,0.23019999999999985,0.7597999999999999
0.1,0.45,0.5,1.0,0.2178999999999997,0.7720999999999999
0.1,0.475,0.5,1.0,0.2501,0.7399000000000001
0.125,0.0,0.5,1.0,0.40049999999999997,0.5894999999999999
0.125,0.025,0.5,1.0,0.29369999999999996,0.6962999999999997
0.125,0.05,0.5,1.0,0.2541,0.7358999999999999
0.125,0.075,0.5,1.0,0.3443,0.6456999999999998
0.125,0.1,0.5,1.0,0.33799999999999997,0.6519999999999999
0.125,0.125,0.5,1.0,0.38,0.61
0.125,0.15,0.5,1.0,0.4067,0.5832999999999999
0.125,0.175,0.5,1.0,0.3551,0.6349
0.125,0.2,0.5,1.0,0.3391999999999999,0.6507999999999998
0.125,0.225,0.5,1.0,0.4002000000000001,0.5898
0.125,0.25,0.5,1.0,0.40460000000000007,0.5854000000000001
0.125,0.275,0.5,1.0,0.3232999999999999,0.6666999999999997
0.125,0.3,0.5,1.0,0.2941999999999999,0.6958000000000003
0.125,0.325,0.5,1.0,0.31949999999999995,0.6705000000000001
0.125,0.35,0.5,1.0,0.2815999999999999,0.7084
0.125,0.375,0.5,1.0,0.30529999999999985,0.6846999999999995
0.125,0.4,0.5,1.0,0.245,0.7449999999999997
0.125,0.425,0.5,1.0,0.18659999999999993,0.8033999999999999
